variable,group,value,myid,hits
Vulnerability,Automotive,6,1,4033
Virtualization,Automotive,0,2,1337
Time to market,Automotive,1,3,1671
Tensions and international conflicts,Automotive,9,4,6534
Sustainability,Automotive,9,5,6613
Sector convergence,Automotive,3,6,2443
Disruptive business models,Automotive,10,7,7510
Demographic changes,Automotive,2,8,1833
Decentralization,Automotive,4,9,2539
Data explosion,Automotive,5,10,3511
Customer Demand,Automotive,10,11,7784
Automation,Automotive,9,12,6577
Vulnerability,Chemicals,6,13,10395
Virtualization,Chemicals,0,14,1894
Time to market,Chemicals,3,15,4867
Tensions and international conflicts,Chemicals,7,16,15344
Sustainability,Chemicals,10,17,31739
Sector convergence,Chemicals,3,18,5024
Disruptive business models,Chemicals,7,19,12199
Demographic changes,Chemicals,5,20,8014
Decentralization,Chemicals,3,21,4480
Data explosion,Chemicals,4,22,5328
Customer Demand,Chemicals,10,23,30390
Automation,Chemicals,6,24,9660
Vulnerability,Consumer Markets,5,25,3924
Virtualization,Consumer Markets,0,26,869
Time to market,Consumer Markets,2,27,1733
Tensions and international conflicts,Consumer Markets,7,28,6538
Sustainability,Consumer Markets,7,29,7237
Sector convergence,Consumer Markets,4,30,2508
Disruptive business models,Consumer Markets,7,31,5690
Demographic changes,Consumer Markets,3,32,2119
Decentralization,Consumer Markets,4,33,2847
Data explosion,Consumer Markets,4,34,2740
Customer Demand,Consumer Markets,10,35,15431
Automation,Consumer Markets,6,36,4365
Vulnerability,Energy,6,37,22413
Virtualization,Energy,0,38,2895
Time to market,Energy,0,39,3104
Tensions and international conflicts,Energy,5,40,18856
Sustainability,Energy,10,41,104527
Sector convergence,Energy,3,42,9994
Disruptive business models,Energy,5,43,17190
Demographic changes,Energy,3,44,9523
Decentralization,Energy,3,45,9968
Data explosion,Energy,3,46,8191
Customer Demand,Energy,5,47,17905
Automation,Energy,4,48,14106
Vulnerability,Financial Services,10,49,126463
Virtualization,Financial Services,0,50,10920
Time to market,Financial Services,0,51,12024
Tensions and international conflicts,Financial Services,9,52,101216
Sustainability,Financial Services,8,53,69536
Sector convergence,Financial Services,5,54,35834
Disruptive business models,Financial Services,8,55,80625
Demographic changes,Financial Services,5,56,39884
